iter	Logloss
0	0.6821553901
1	0.6716775107
2	0.6616632099
3	0.6520734809
4	0.6429180853
5	0.6341779478
6	0.6258324044
7	0.6178903235
8	0.6102884014
9	0.603036457
10	0.5961328678
11	0.5895427938
12	0.583233127
13	0.5772084994
14	0.5714744755
15	0.5659763822
16	0.5607232496
17	0.5557071214
18	0.5509136446
19	0.5463715788
20	0.5420113754
21	0.5378441764
22	0.5338807615
23	0.5300904641
24	0.5264524709
25	0.5229944178
26	0.51967334
27	0.5165186173
28	0.5134918825
29	0.5106134379
30	0.5078661339
31	0.5052269697
32	0.5027096125
33	0.5003246348
34	0.4980229308
35	0.4958173127
36	0.4937095322
37	0.4917154889
38	0.4897886288
39	0.4879622191
40	0.486217787
41	0.4845520684
42	0.4829411477
43	0.4814003482
44	0.4799299278
45	0.4785328234
46	0.4771963027
47	0.4759139543
48	0.4746713834
49	0.4734948544
50	0.4727062227
51	0.471628057
52	0.4705820142
53	0.4695935336
54	0.468642813
55	0.4677367991
56	0.4671240422
57	0.4662672877
58	0.465702344
59	0.4649082596
60	0.4641435854
61	0.4634151011
62	0.4627228135
63	0.4622663471
64	0.4616162324
65	0.460992253
66	0.4604037947
67	0.4598360879
68	0.4592899983
69	0.4589381465
70	0.4584217939
71	0.4579335208
72	0.4574626552
73	0.4570154397
74	0.4565834457
75	0.4561694278
76	0.4557734469
77	0.4553925946
78	0.4550301917
79	0.45468248
80	0.4543550789
81	0.4540346594
82	0.4537261224
83	0.4534314241
84	0.4531512249
85	0.4528846274
86	0.452629482
87	0.4523882063
88	0.4521513775
89	0.4519232283
90	0.4517092418
91	0.4515011597
92	0.4513013549
93	0.451172088
94	0.4509880111
95	0.4508085165
96	0.4506345157
97	0.4504705999
98	0.4503122393
99	0.4501601472
100	0.4500683597
101	0.4499304047
102	0.4498017856
103	0.4496738984
104	0.4495470818
105	0.4494354156
106	0.449360575
107	0.4492901025
108	0.4491848494
109	0.4490840542
110	0.4489831358
111	0.4489252984
112	0.4488300526
113	0.448736103
114	0.4486469204
115	0.4485941219
116	0.4485147485
117	0.4484323842
118	0.4483543291
119	0.4482774822
120	0.4482046009
121	0.4481353698
122	0.4481014607
123	0.4480301368
124	0.4479667502
125	0.4479087318
126	0.4478506795
127	0.4477993143
128	0.447742885
129	0.4476909208
130	0.447642416
131	0.4475928925
132	0.4475486793
133	0.447510514
134	0.4474636492
135	0.4474278962
136	0.4473895829
137	0.4473706945
138	0.4473338385
139	0.4473151295
140	0.4472837601
141	0.4472666814
142	0.4472316699
143	0.4472176061
144	0.44718466
145	0.4471564357
146	0.4471249683
147	0.4470966722
148	0.447085905
149	0.4470717742
150	0.4470591093
151	0.4470323683
152	0.4470066626
153	0.4469840022
154	0.4469638308
155	0.4469451685
156	0.446920716
157	0.4469079592
158	0.4468904257
159	0.4468775916
160	0.4468706439
161	0.4468529188
162	0.4468346015
163	0.4468243956
164	0.4468060803
165	0.4468005601
166	0.4467848563
167	0.4467804091
168	0.4467707525
169	0.4467599848
170	0.446744942
171	0.4467414057
172	0.4467378558
173	0.4467328062
174	0.4467267463
175	0.4467164708
176	0.4467017257
177	0.4466903265
178	0.4466825131
179	0.4466724656
180	0.4466643896
181	0.4466578441
182	0.4466522693
183	0.4466468558
184	0.4466413078
185	0.4466306533
186	0.4466241436
187	0.4466157247
188	0.4466159109
189	0.4466071587
190	0.4466050986
191	0.446598745
192	0.4465904621
193	0.4465847648
194	0.446583659
195	0.4465779279
196	0.4465684054
197	0.4465670759
198	0.4465615957
199	0.4465583793
200	0.44655706
201	0.4465521976
202	0.4465469805
203	0.4465411573
204	0.4465389139
205	0.4465387493
206	0.4465340222
207	0.4465312063
208	0.4465327241
209	0.4465264051
210	0.4465229382
211	0.4465194842
212	0.4465162056
213	0.4465150221
214	0.4465121721
215	0.4465088207
216	0.4465090692
217	0.4465032563
218	0.4465024032
219	0.4464994047
220	0.4464943328
221	0.4464897279
222	0.4464884793
223	0.446487036
224	0.4464874662
225	0.4464844527
226	0.4464799257
227	0.4464800172
228	0.4464781001
229	0.4464734298
230	0.446470603
231	0.446469975
232	0.4464712084
233	0.4464707288
234	0.446467445
235	0.446464482
236	0.4464618075
237	0.4464603255
238	0.4464592388
239	0.4464575855
240	0.4464554681
241	0.4464537892
242	0.4464505912
243	0.4464499786
244	0.4464473154
245	0.4464428246
246	0.4464421412
247	0.4464371858
248	0.4464371858
249	0.4464371858
250	0.4464353529
251	0.4464349978
252	0.4464369095
253	0.4464344565
254	0.4464326886
255	0.4464323502
256	0.4464301311
257	0.446431212
258	0.4464300742
259	0.4464311546
260	0.4464291307
261	0.4464278577
262	0.4464293907
263	0.4464268402
264	0.4464242725
265	0.4464237433
266	0.4464237149
267	0.4464232127
268	0.4464206035
269	0.4464178627
270	0.4464170668
271	0.4464163677
272	0.4464141891
273	0.4464125383
274	0.4464130378
275	0.4464104354
276	0.4464124289
277	0.4464095307
278	0.4464121052
279	0.4464090923
280	0.4464098796
281	0.4464064646
282	0.4464052573
283	0.4464050662
284	0.4464006377
285	0.4463992344
286	0.4463989943
287	0.4463985437
288	0.4463970933
289	0.446398208
290	0.4463973272
291	0.4463944154
292	0.4463944154
