published_at,description
2016-07-03,"헐크 등근육 만들기 해볼까요?등운동 루틴!!!
좋아요 & 구독하기! 댓글 남겨주세요"
2016-07-05,"하체, 어깨 운동 루틴 (leg, shoulder) 여름방학 ep 02스쿼트, 오버헤드 프레스 루틴입니다.
무게를 조절해서 순서 따라하시면 돼요 :d"
2016-07-07,"등운동 루틴(스트렝스 & 자극) 여름방학 ep 04등,허리 운동 루틴입니다. 스트렝스와 자극 모두에 초점을 맞춘
루틴이에요. 무게는 개인 스트렝스에 맞게 조절하시면 됩니다!
-운동 루틴
데드리프트 deadlift
60kg 10회 / 100kg 5회 / 140kg 3회 / 160kg 1회 / 180kg 1회

데드리프트 메인 훈련
140kg 5회 x 5세트

랫풀다운 10회 4세트
바벨로우 10회 4세트
케이블로우 10회 4세트"
2016-07-07,"30분 완성 가슴 운동(급할 때!) 여름방학 ep 03스트렝스와 자극 모두 챙길 수 있는
30분 완성 가슴 운동!
좋아요 & 구독!!"
2016-07-10,"꼭 챙겨야 될 가슴 루틴! 여름방학 ep 06근력 강화에 매우 도움 되는 가슴운동 루틴!

 kw lee

구독 & 좋아요 :d"
2016-07-12,"닭가슴살을 맛있게!(등,허리 운동) 여름방학 ep 07닭가슴살 레시피!
그리고 등, 허리 운동 루틴!

좋아요 & 구독!!"
2016-07-13,"강철어깨 장착하기(leg & shoulder) 여름방학 ep 08하체 스쿼트 루틴과
어깨 운동 밀리터리프레스와 래터럴레이즈 루틴을 담았습니다.

댓글 남겨주시고 좋아요 & 구독!!"
2016-07-14,"등짝을 더 넓게(backworkouts) 여름방학 ep 09등허리 운동에 관한 루틴
데드리프트를 위주로 한 스트렝스 훈련
그리고 자극 운동들."
2016-07-14,"벤치프레스 스트렝스증가 루틴, 여름방학 ep 09벤치프레스 스트렝스훈련 루틴과 하이바와 로우바 스쿼트의 자세 비교.
좋아요 & 구독 하세요!"
2016-07-16,"하이바 스쿼트 팁! (그리고 어깨 운동 팁) 여름방학 ep 10하이바 스쿼트 팁과 어깨운동 팁을 담았습니다.
여름방학 에피소드 ep10
벌써 4분의 1이 지난 여름방학..... 조금 더 힘을 냅시다!"
