published_at,description
2016-05-28,"가슴운동 루틴(벤치프레스) 경희대고시생활 ep 02가슴운동 루틴!
좋아요 & 구독하기"
2016-05-27,"하체, 어깨 운동 루틴(스쿼트, 숄더프레스) 경희대고시생활 ep. 01공부 & 운동 함께.
오늘의 운동 : 하체 & 어깨."
2016-05-25,"i made it(judo competition) 동아리 유도대회 우승!유도 단체전 정리 영상. 
운동영상은 이틀 내로 올릴게요^^"
2016-05-21,스쿼트 하는 법. 몸상태(how to squat!) 09how to squat!
2016-05-19,가슴운동 (chest day) 08 physique update!bench press/  physique update
2016-05-18,"a new day begins(deadlifts, 브이로그) 데드리프트고시공부, 운동 (workouts, studying)
구독 & 좋아요/ subscribe & thumbs up please!"
2016-05-16,"all round workouts (전신운동) 07sit back and enjoy this video
subscribe & thumbs up please!"
2016-05-12,"sixpackshortcuts (스쿼트, 어깨운동, 일상) 05some talk & workouts
squats, shoulder press!"
2016-05-09,"body transformation without diet in 3months3 months natural body transformation without diet.

subscribe and thumbs up!"
2016-05-08,스모데드리프트  (sumo deadlifts) 02스모데드리프트 영상
2016-05-07,"등운동 1st video making(스모 데드리프트 180kg) sumo deadlift데드리프트(180kg 1rm 도전)

의자에 기대고 편히 즐기세요"
2016-12-31,"인바디 체크, 3대 운동, 브이로그 │겨울방학 ep05인바디 체크와 함께 3대 운동(벤치프레스, 데드리프트, 스쿼트) 모두 진행해봤어요.
오랜만에 헬스장을 가서 그런지 높은 집중력을 가지고 운동을 할 수 있었어요. 주말은 푹 쉬고 다시 다음주부터 운동 시작해야지요
2016년의 마지막 날입니다! 마무리 잘 하시고
새해복 많이 받으세요!
 - "
2016-12-28,"홈트 영상(어깨 만들기, 친구, 일상, 브이로그) 겨울방학 ep04오늘도 어김없이.... 홈트를 했네요.... 날이 추워지니 헬스장 가기 참 어렵습니다 ㅠㅠ 어깨 운동을 했습니다! 어깨운동 루틴(홈트루틴) 꽤 괜찮아요! 한번 꼭 도전해보세요 ㅎㅎㅎ
일상을 담으려 노력했고, 재밌게 봐주셨으면 좋겠습니다! ㅎㅎ
좋아요, 구독 꼭 눌러주시구요!

 - (kw lee)"
2016-12-26,"턱걸이 100개 도전(일상, 브이로그) 겨울방학ep04맨몸 운동의 끝판왕! 턱걸이를 100개 도전해봤어요
10개씩 10세트로 진행했고...
고무밴드의 도움을 받았네요 ㅎㅎㅎ

 - (kw lee)"
2016-12-25,"merry christmas!!!(자기소개, 일상, 브이로그, 운동x) 겨울방학 ep03메리크리스마스예요!(merry christmas)
운동 영상 없는 일상 영상만 담아봤어요^^
잠들기 전에 '나만 외로운 게 아니구나' 라는 맘을 가질 수 있도록! ㅋㅋㅋ 혼자남의 쓸쓸한 크리스마스를 담았습니다
모두 새로운 한 주 화이팅 하시구요!

 -  구독! 좋아요! 눌러주세요 ㅎㅎ
kevin macleod의 jingle bells은(는) creative commons attribution 라이선스(https://creativecommons.org/licenses/by/4.0/)에 따라 라이선스가 부여됩니다.
출처: http://incompetech.com/music/royalty-free/index.html?isrc=usuan1100187
아티스트: http://incompetech.com/"
2016-12-23,"맨몸운동 하는 날(홈트 루틴, 장보기, 일상) 겨울방학 ep02맨몸 운동을 해봤어요!(홈트레이닝)
맨몸루틴은 항상 하던 것과 비슷하게 진행했고, 추가된 것은 시작전 응용버피동작 15회입니다 ㅎㅎ 주말에 운동하러 가기 귀찮거나 휴식하는 날이면 하루 정도 이런 루틴으로 해주는 게 몸 컨디션 유지하기에 좋을 것 같아요!
주말 재밌게 보내시고, 메리크리스마스 입니다!!

 - (kw lee)"
