Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,description,published_at
79,7,0.9700000286102295,"코드, 할인, 링크, 입력, 여행, 추천, 이상, 졸업, 가슴, 여러분",,
29,7,0.8844000101089478,"코드, 할인, 링크, 입력, 여행, 추천, 이상, 졸업, 가슴, 여러분",,
49,7,0.8195000290870667,"코드, 할인, 링크, 입력, 여행, 추천, 이상, 졸업, 가슴, 여러분",,
81,7,0.6765999794006348,"코드, 할인, 링크, 입력, 여행, 추천, 이상, 졸업, 가슴, 여러분",,
51,7,0.5971999764442444,"코드, 할인, 링크, 입력, 여행, 추천, 이상, 졸업, 가슴, 여러분",,
68,7,0.5867000222206116,"코드, 할인, 링크, 입력, 여행, 추천, 이상, 졸업, 가슴, 여러분",,
17,7,0.5458999872207642,"코드, 할인, 링크, 입력, 여행, 추천, 이상, 졸업, 가슴, 여러분",,
19,7,0.4961000084877014,"코드, 할인, 링크, 입력, 여행, 추천, 이상, 졸업, 가슴, 여러분",,
