Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,description,published_at
434,6,0.9549999833106995,"여러분, 여행, 졸업, 편집, 운동, 것, 코드, 할인, 링크, 추천",,
129,6,0.949999988079071,"여러분, 여행, 졸업, 편집, 운동, 것, 코드, 할인, 링크, 추천",,
128,6,0.9437000155448914,"여러분, 여행, 졸업, 편집, 운동, 것, 코드, 할인, 링크, 추천",,
116,6,0.9437000155448914,"여러분, 여행, 졸업, 편집, 운동, 것, 코드, 할인, 링크, 추천",,
168,6,0.9399999976158142,"여러분, 여행, 졸업, 편집, 운동, 것, 코드, 할인, 링크, 추천",,
148,6,0.935699999332428,"여러분, 여행, 졸업, 편집, 운동, 것, 코드, 할인, 링크, 추천",,
87,6,0.935699999332428,"여러분, 여행, 졸업, 편집, 운동, 것, 코드, 할인, 링크, 추천",,
164,6,0.9182000160217285,"여러분, 여행, 졸업, 편집, 운동, 것, 코드, 할인, 링크, 추천",,
125,6,0.9182000160217285,"여러분, 여행, 졸업, 편집, 운동, 것, 코드, 할인, 링크, 추천",,
124,6,0.9100000262260437,"여러분, 여행, 졸업, 편집, 운동, 것, 코드, 할인, 링크, 추천",,
137,6,0.9100000262260437,"여러분, 여행, 졸업, 편집, 운동, 것, 코드, 할인, 링크, 추천",,
105,6,0.9100000262260437,"여러분, 여행, 졸업, 편집, 운동, 것, 코드, 할인, 링크, 추천",,
147,6,0.8999999761581421,"여러분, 여행, 졸업, 편집, 운동, 것, 코드, 할인, 링크, 추천",,
155,6,0.8999999761581421,"여러분, 여행, 졸업, 편집, 운동, 것, 코드, 할인, 링크, 추천",,
173,6,0.887499988079071,"여러분, 여행, 졸업, 편집, 운동, 것, 코드, 할인, 링크, 추천",,
159,6,0.871399998664856,"여러분, 여행, 졸업, 편집, 운동, 것, 코드, 할인, 링크, 추천",,
165,6,0.871399998664856,"여러분, 여행, 졸업, 편집, 운동, 것, 코드, 할인, 링크, 추천",,
9,6,0.8199999928474426,"여러분, 여행, 졸업, 편집, 운동, 것, 코드, 할인, 링크, 추천",,
98,6,0.8199999928474426,"여러분, 여행, 졸업, 편집, 운동, 것, 코드, 할인, 링크, 추천",,
13,6,0.8199999928474426,"여러분, 여행, 졸업, 편집, 운동, 것, 코드, 할인, 링크, 추천",,
8,6,0.8199999928474426,"여러분, 여행, 졸업, 편집, 운동, 것, 코드, 할인, 링크, 추천",,
167,6,0.8199999928474426,"여러분, 여행, 졸업, 편집, 운동, 것, 코드, 할인, 링크, 추천",,
163,6,0.718500018119812,"여러분, 여행, 졸업, 편집, 운동, 것, 코드, 할인, 링크, 추천",,
4,6,0.699999988079071,"여러분, 여행, 졸업, 편집, 운동, 것, 코드, 할인, 링크, 추천",,
150,6,0.6492999792098999,"여러분, 여행, 졸업, 편집, 운동, 것, 코드, 할인, 링크, 추천",,
127,6,0.6488999724388123,"여러분, 여행, 졸업, 편집, 운동, 것, 코드, 할인, 링크, 추천",,
156,6,0.6118000149726868,"여러분, 여행, 졸업, 편집, 운동, 것, 코드, 할인, 링크, 추천",,
166,6,0.5773000121116638,"여러분, 여행, 졸업, 편집, 운동, 것, 코드, 할인, 링크, 추천",,
5,6,0.5498999953269958,"여러분, 여행, 졸업, 편집, 운동, 것, 코드, 할인, 링크, 추천",,
387,6,0.5236999988555908,"여러분, 여행, 졸업, 편집, 운동, 것, 코드, 할인, 링크, 추천",,
115,6,0.46380001306533813,"여러분, 여행, 졸업, 편집, 운동, 것, 코드, 할인, 링크, 추천",,
