Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,description,published_at
435,10,0.9609000086784363,"데드리프트, 여행, 졸업, 가슴, 편집, 훈련, 스트렝스, 여러분, 닭, 프로",,
130,10,0.9437000155448914,"데드리프트, 여행, 졸업, 가슴, 편집, 훈련, 스트렝스, 여러분, 닭, 프로",,
142,10,0.9437000155448914,"데드리프트, 여행, 졸업, 가슴, 편집, 훈련, 스트렝스, 여러분, 닭, 프로",,
500,10,0.9399999976158142,"데드리프트, 여행, 졸업, 가슴, 편집, 훈련, 스트렝스, 여러분, 닭, 프로",,
139,10,0.935699999332428,"데드리프트, 여행, 졸업, 가슴, 편집, 훈련, 스트렝스, 여러분, 닭, 프로",,
547,10,0.9182000160217285,"데드리프트, 여행, 졸업, 가슴, 편집, 훈련, 스트렝스, 여러분, 닭, 프로",,
178,10,0.9182000160217285,"데드리프트, 여행, 졸업, 가슴, 편집, 훈련, 스트렝스, 여러분, 닭, 프로",,
515,10,0.9182000160217285,"데드리프트, 여행, 졸업, 가슴, 편집, 훈련, 스트렝스, 여러분, 닭, 프로",,
316,10,0.8500000238418579,"데드리프트, 여행, 졸업, 가슴, 편집, 훈련, 스트렝스, 여러분, 닭, 프로",,
408,10,0.8500000238418579,"데드리프트, 여행, 졸업, 가슴, 편집, 훈련, 스트렝스, 여러분, 닭, 프로",,
95,10,0.8199999928474426,"데드리프트, 여행, 졸업, 가슴, 편집, 훈련, 스트렝스, 여러분, 닭, 프로",,
577,10,0.8199999928474426,"데드리프트, 여행, 졸업, 가슴, 편집, 훈련, 스트렝스, 여러분, 닭, 프로",,
80,10,0.8199999928474426,"데드리프트, 여행, 졸업, 가슴, 편집, 훈련, 스트렝스, 여러분, 닭, 프로",,
585,10,0.699999988079071,"데드리프트, 여행, 졸업, 가슴, 편집, 훈련, 스트렝스, 여러분, 닭, 프로",,
580,10,0.699999988079071,"데드리프트, 여행, 졸업, 가슴, 편집, 훈련, 스트렝스, 여러분, 닭, 프로",,
574,10,0.699999988079071,"데드리프트, 여행, 졸업, 가슴, 편집, 훈련, 스트렝스, 여러분, 닭, 프로",,
597,10,0.6998999714851379,"데드리프트, 여행, 졸업, 가슴, 편집, 훈련, 스트렝스, 여러분, 닭, 프로",,
303,10,0.6998999714851379,"데드리프트, 여행, 졸업, 가슴, 편집, 훈련, 스트렝스, 여러분, 닭, 프로",,
550,10,0.6733999848365784,"데드리프트, 여행, 졸업, 가슴, 편집, 훈련, 스트렝스, 여러분, 닭, 프로",,
532,10,0.6096000075340271,"데드리프트, 여행, 졸업, 가슴, 편집, 훈련, 스트렝스, 여러분, 닭, 프로",,
396,10,0.5809000134468079,"데드리프트, 여행, 졸업, 가슴, 편집, 훈련, 스트렝스, 여러분, 닭, 프로",,
446,10,0.5784000158309937,"데드리프트, 여행, 졸업, 가슴, 편집, 훈련, 스트렝스, 여러분, 닭, 프로",,
596,10,0.550000011920929,"데드리프트, 여행, 졸업, 가슴, 편집, 훈련, 스트렝스, 여러분, 닭, 프로",,
578,10,0.5498999953269958,"데드리프트, 여행, 졸업, 가슴, 편집, 훈련, 스트렝스, 여러분, 닭, 프로",,
508,10,0.5374000072479248,"데드리프트, 여행, 졸업, 가슴, 편집, 훈련, 스트렝스, 여러분, 닭, 프로",,
516,10,0.5282999873161316,"데드리프트, 여행, 졸업, 가슴, 편집, 훈련, 스트렝스, 여러분, 닭, 프로",,
1,10,0.4490000009536743,"데드리프트, 여행, 졸업, 가슴, 편집, 훈련, 스트렝스, 여러분, 닭, 프로",,
