Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,description,published_at
151,4,0.965399980545044,"여러분, 여행, 졸업, 편집, 더, 시청, 모두, 진행, 훈련, 중",,
472,4,0.9591000080108643,"여러분, 여행, 졸업, 편집, 더, 시청, 모두, 진행, 훈련, 중",,
44,4,0.9549999833106995,"여러분, 여행, 졸업, 편집, 더, 시청, 모두, 진행, 훈련, 중",,
96,4,0.9549999833106995,"여러분, 여행, 졸업, 편집, 더, 시청, 모두, 진행, 훈련, 중",,
101,4,0.949999988079071,"여러분, 여행, 졸업, 편집, 더, 시청, 모두, 진행, 훈련, 중",,
122,4,0.9470999836921692,"여러분, 여행, 졸업, 편집, 더, 시청, 모두, 진행, 훈련, 중",,
126,4,0.9437000155448914,"여러분, 여행, 졸업, 편집, 더, 시청, 모두, 진행, 훈련, 중",,
123,4,0.9399999976158142,"여러분, 여행, 졸업, 편집, 더, 시청, 모두, 진행, 훈련, 중",,
117,4,0.9399999976158142,"여러분, 여행, 졸업, 편집, 더, 시청, 모두, 진행, 훈련, 중",,
134,4,0.9399999976158142,"여러분, 여행, 졸업, 편집, 더, 시청, 모두, 진행, 훈련, 중",,
133,4,0.935699999332428,"여러분, 여행, 졸업, 편집, 더, 시청, 모두, 진행, 훈련, 중",,
111,4,0.935699999332428,"여러분, 여행, 졸업, 편집, 더, 시청, 모두, 진행, 훈련, 중",,
99,4,0.935699999332428,"여러분, 여행, 졸업, 편집, 더, 시청, 모두, 진행, 훈련, 중",,
162,4,0.9308000206947327,"여러분, 여행, 졸업, 편집, 더, 시청, 모두, 진행, 훈련, 중",,
121,4,0.9308000206947327,"여러분, 여행, 졸업, 편집, 더, 시청, 모두, 진행, 훈련, 중",,
339,4,0.9308000206947327,"여러분, 여행, 졸업, 편집, 더, 시청, 모두, 진행, 훈련, 중",,
109,4,0.9308000206947327,"여러분, 여행, 졸업, 편집, 더, 시청, 모두, 진행, 훈련, 중",,
179,4,0.9308000206947327,"여러분, 여행, 졸업, 편집, 더, 시청, 모두, 진행, 훈련, 중",,
94,4,0.9308000206947327,"여러분, 여행, 졸업, 편집, 더, 시청, 모두, 진행, 훈련, 중",,
473,4,0.9308000206947327,"여러분, 여행, 졸업, 편집, 더, 시청, 모두, 진행, 훈련, 중",,
89,4,0.9308000206947327,"여러분, 여행, 졸업, 편집, 더, 시청, 모두, 진행, 훈련, 중",,
113,4,0.925000011920929,"여러분, 여행, 졸업, 편집, 더, 시청, 모두, 진행, 훈련, 중",,
322,4,0.925000011920929,"여러분, 여행, 졸업, 편집, 더, 시청, 모두, 진행, 훈련, 중",,
338,4,0.925000011920929,"여러분, 여행, 졸업, 편집, 더, 시청, 모두, 진행, 훈련, 중",,
429,4,0.9182000160217285,"여러분, 여행, 졸업, 편집, 더, 시청, 모두, 진행, 훈련, 중",,
440,4,0.9182000160217285,"여러분, 여행, 졸업, 편집, 더, 시청, 모두, 진행, 훈련, 중",,
145,4,0.9182000160217285,"여러분, 여행, 졸업, 편집, 더, 시청, 모두, 진행, 훈련, 중",,
119,4,0.9182000160217285,"여러분, 여행, 졸업, 편집, 더, 시청, 모두, 진행, 훈련, 중",,
169,4,0.9182000160217285,"여러분, 여행, 졸업, 편집, 더, 시청, 모두, 진행, 훈련, 중",,
135,4,0.9180999994277954,"여러분, 여행, 졸업, 편집, 더, 시청, 모두, 진행, 훈련, 중",,
307,4,0.9100000262260437,"여러분, 여행, 졸업, 편집, 더, 시청, 모두, 진행, 훈련, 중",,
175,4,0.9100000262260437,"여러분, 여행, 졸업, 편집, 더, 시청, 모두, 진행, 훈련, 중",,
136,4,0.9100000262260437,"여러분, 여행, 졸업, 편집, 더, 시청, 모두, 진행, 훈련, 중",,
308,4,0.9100000262260437,"여러분, 여행, 졸업, 편집, 더, 시청, 모두, 진행, 훈련, 중",,
161,4,0.9100000262260437,"여러분, 여행, 졸업, 편집, 더, 시청, 모두, 진행, 훈련, 중",,
118,4,0.9100000262260437,"여러분, 여행, 졸업, 편집, 더, 시청, 모두, 진행, 훈련, 중",,
108,4,0.9100000262260437,"여러분, 여행, 졸업, 편집, 더, 시청, 모두, 진행, 훈련, 중",,
403,4,0.9100000262260437,"여러분, 여행, 졸업, 편집, 더, 시청, 모두, 진행, 훈련, 중",,
177,4,0.8999999761581421,"여러분, 여행, 졸업, 편집, 더, 시청, 모두, 진행, 훈련, 중",,
333,4,0.887499988079071,"여러분, 여행, 졸업, 편집, 더, 시청, 모두, 진행, 훈련, 중",,
143,4,0.887499988079071,"여러분, 여행, 졸업, 편집, 더, 시청, 모두, 진행, 훈련, 중",,
14,4,0.887499988079071,"여러분, 여행, 졸업, 편집, 더, 시청, 모두, 진행, 훈련, 중",,
